city,state_id,state_name,county_name
New York,NY,New York,New York
Los Angeles,CA,California,Los Angeles
Chicago,IL,Illinois,Cook
Miami,FL,Florida,Miami-Dade
Dallas,TX,Texas,Dallas
Philadelphia,PA,Pennsylvania,Philadelphia
Houston,TX,Texas,Harris
Atlanta,GA,Georgia,Fulton
Washington,DC,District of Columbia,District of Columbia
Boston,MA,Massachusetts,Suffolk
Phoenix,AZ,Arizona,Maricopa
Seattle,WA,Washington,King
San Francisco,CA,California,San Francisco
Detroit,MI,Michigan,Wayne
San Diego,CA,California,San Diego
Minneapolis,MN,Minnesota,Hennepin
Tampa,FL,Florida,Hillsborough
Denver,CO,Colorado,Denver
Brooklyn,NY,New York,Kings
Queens,NY,New York,Queens
Riverside,CA,California,Riverside
Baltimore,MD,Maryland,Baltimore
Las Vegas,NV,Nevada,Clark
Portland,OR,Oregon,Multnomah
San Antonio,TX,Texas,Bexar
St. Louis,MO,Missouri,St. Louis
Sacramento,CA,California,Sacramento
Orlando,FL,Florida,Orange
San Jose,CA,California,Santa Clara
Cleveland,OH,Ohio,Cuyahoga
Pittsburgh,PA,Pennsylvania,Allegheny
Austin,TX,Texas,Travis
Cincinnati,OH,Ohio,Hamilton
Kansas City,MO,Missouri,Jackson
Manhattan,NY,New York,New York
Indianapolis,IN,Indiana,Marion
Columbus,OH,Ohio,Franklin
Charlotte,NC,North Carolina,Mecklenburg
Virginia Beach,VA,Virginia,Virginia Beach
Bronx,NY,New York,Bronx
Milwaukee,WI,Wisconsin,Milwaukee
Providence,RI,Rhode Island,Providence
Jacksonville,FL,Florida,Duval
Salt Lake City,UT,Utah,Salt Lake
Nashville,TN,Tennessee,Davidson
Richmond,VA,Virginia,Richmond
Memphis,TN,Tennessee,Shelby
Raleigh,NC,North Carolina,Wake
New Orleans,LA,Louisiana,Orleans
Louisville,KY,Kentucky,Jefferson
Oklahoma City,OK,Oklahoma,Oklahoma
Bridgeport,CT,Connecticut,Fairfield
Buffalo,NY,New York,Erie
Fort Worth,TX,Texas,Tarrant
Hartford,CT,Connecticut,Hartford
Tucson,AZ,Arizona,Pima
Omaha,NE,Nebraska,Douglas
El Paso,TX,Texas,El Paso
Honolulu,HI,Hawaii,Honolulu
McAllen,TX,Texas,Hidalgo
Albuquerque,NM,New Mexico,Bernalillo
Birmingham,AL,Alabama,Jefferson
Sarasota,FL,Florida,Sarasota
Dayton,OH,Ohio,Montgomery
Rochester,NY,New York,Monroe
Fresno,CA,California,Fresno
Allentown,PA,Pennsylvania,Lehigh
Tulsa,OK,Oklahoma,Tulsa
Cape Coral,FL,Florida,Lee
Concord,CA,California,Contra Costa
Colorado Springs,CO,Colorado,El Paso
Charleston,SC,South Carolina,Charleston
Springfield,MA,Massachusetts,Hampden
Grand Rapids,MI,Michigan,Kent
Mission Viejo,CA,California,Orange
Albany,NY,New York,Albany
Knoxville,TN,Tennessee,Knox
Bakersfield,CA,California,Kern
Ogden,UT,Utah,Weber
Baton Rouge,LA,Louisiana,East Baton Rouge
Akron,OH,Ohio,Summit
New Haven,CT,Connecticut,New Haven
Columbia,SC,South Carolina,Richland
Mesa,AZ,Arizona,Maricopa
Palm Bay,FL,Florida,Brevard
Provo,UT,Utah,Utah
Worcester,MA,Massachusetts,Worcester
Murrieta,CA,California,Riverside
Greenville,SC,South Carolina,Greenville
Wichita,KS,Kansas,Sedgwick
Toledo,OH,Ohio,Lucas
Staten Island,NY,New York,Richmond
Des Moines,IA,Iowa,Polk
Long Beach,CA,California,Los Angeles
Port St. Lucie,FL,Florida,St. Lucie
Denton,TX,Texas,Denton
Madison,WI,Wisconsin,Dane
Reno,NV,Nevada,Washoe
Harrisburg,PA,Pennsylvania,Dauphin
Little Rock,AR,Arkansas,Pulaski
Oakland,CA,California,Alameda
Durham,NC,North Carolina,Durham
Winston-Salem,NC,North Carolina,Forsyth
Bonita Springs,FL,Florida,Lee
Indio,CA,California,Riverside
Palm Coast,FL,Florida,Flagler
Chattanooga,TN,Tennessee,Hamilton
Spokane,WA,Washington,Spokane
Syracuse,NY,New York,Onondaga
Lancaster,PA,Pennsylvania,Lancaster
Arlington,TX,Texas,Tarrant
Stockton,CA,California,San Joaquin
